1941j             "1941: Counter Attack (Japan)"
kodr1             "The King of Dragons (World 910711)"
kodr2             "The King of Dragons (World 910731)"
punisherh         "The Punisher (Hispanic 930422)"
punisherj         "The Punisher (Japan 930422)"
punisheru         "The Punisher (USA 930422)"
3wondersb         "Three Wonders (bootleg)"
3wonders          "Three Wonders (World 910520)"
3wondersh         "Three Wonders (hack)"
3wondersu         "Three Wonders (USA 910520)"
3wondersr1        "Three Wonders (World 910513)"
cawingj           "U.S. Navy (Japan 901012)"
varthj            "Varth: Operation Thunderstorm (Japan 920714)"
varth             "Varth: Operation Thunderstorm (World 920714)"
varthjr           "Varth: Operation Thunderstorm (Japan Resale Ver. 920714)"
varthu            "Varth: Operation Thunderstorm (USA 920612)"
varthr1           "Varth: Operation Thunderstorm (World 920612)"
wofu              "Warriors of Fate (USA 921031)"
wofr1             "Warriors of Fate (World 921002)"
willowj           "Willow (Japan)"
willow            "Willow (World)"
willowuo          "Willow (USA Old Ver.)"
willowu           "Willow (USA)"
wonder3           "Wonder 3 (Japan 910520)"
1944j             "1944: The Loop Master (Japan 000620)"
1944              "1944: The Loop Master (USA 000620)"
qsound_hle        "QSound (HLE)"
1944d             "1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)"
19xxar1           "19XX: The War Against Destiny (Asia 951207)"
19xx              "19XX: The War Against Destiny (USA 951207)"
19xxa             "19XX: The War Against Destiny (Asia 960104)"
19xxb             "19XX: The War Against Destiny (Brazil 951218)"
19xxh             "19XX: The War Against Destiny (Hispanic 951218)"
19xxjr2           "19XX: The War Against Destiny (Japan 951207)"
19xxjr1           "19XX: The War Against Destiny (Japan 951225)"
19xxj             "19XX: The War Against Destiny (Japan 960104, yellow case)"
19xxd             "19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)"
avspa             "Alien vs. Predator (Asia 940520)"
avsp              "Alien vs. Predator (Euro 940520)"
avspd             "Alien vs. Predator (Euro 940520 Phoenix Edition) (bootleg)"
avsph             "Alien vs. Predator (Hispanic 940520)"
avspj             "Alien vs. Predator (Japan 940520)"
avspu             "Alien vs. Predator (USA 940520)"
armwarar1         "Armored Warriors (Asia 940920)"
armwar            "Armored Warriors (Euro 941024)"
armwara           "Armored Warriors (Asia 941024)"
armwar1d          "Armored Warriors (Euro 941011 Phoenix Edition) (bootleg)"
armwarr1          "Armored Warriors (Euro 941011)"
armwaru1          "Armored Warriors (USA 940920)"
armwaru           "Armored Warriors (USA 941024)"
batcira           "Battle Circuit (Asia 970319)"
batcir            "Battle Circuit (Euro 970319)"
batcird           "Battle Circuit (Euro 970319 Phoenix Edition) (bootleg)"
batcirj           "Battle Circuit (Japan 970319)"
cscluba           "Capcom Sports Club (Asia 970722)"
csclub            "Capcom Sports Club (Euro 971017)"
csclub1d          "Capcom Sports Club (Euro 970722 Phoenix Edition) (bootleg)"
csclub1           "Capcom Sports Club (Euro 970722)"
csclubh           "Capcom Sports Club (Hispanic 970722)"
csclubjy          "Capcom Sports Club (Japan 970722, yellow case)"
csclubj           "Capcom Sports Club (Japan 970722)"
cybots            "Cyberbots: Fullmetal Madness (Euro 950424)"
cybotsj           "Cyberbots: Fullmetal Madness (Japan 950420)"
cybotsjd          "Cyberbots: Fullmetal Madness (Japan 950424) (decrypted bootleg)"
cybotsud          "Cyberbots: Fullmetal Madness (USA 950424 Phoenix Edition) (bootleg)"
cybotsu           "Cyberbots: Fullmetal Madness (USA 950424)"
dstlka            "Darkstalkers: The Night Warriors (Asia 940705)"
dstlk             "Darkstalkers: The Night Warriors (Euro 940705)"
dstlkh            "Darkstalkers: The Night Warriors (Hispanic 940818)"
dstlku1d          "Darkstalkers: The Night Warriors (USA 940705 Phoenix Edition) (bootleg)"
dstlkur1          "Darkstalkers: The Night Warriors (USA 940705)"
dstlku            "Darkstalkers: The Night Warriors (USA 940818)"
dimahoo           "Dimahoo (Euro 000121)"
dimahoud          "Dimahoo (USA 000121 Phoenix Edition) (bootleg)"
dimahoou          "Dimahoo (USA 000121)"
ddsomar1          "Dungeons & Dragons: Shadow over Mystara (Asia 960208)"
ddsom             "Dungeons & Dragons: Shadow over Mystara (Euro 960619)"
ddsoma            "Dungeons & Dragons: Shadow over Mystara (Asia 960619)"
ddsomb            "Dungeons & Dragons: Shadow over Mystara (Brazil 960223)"
ddsomr3           "Dungeons & Dragons: Shadow over Mystara (Euro 960208)"
ddsomr2           "Dungeons & Dragons: Shadow over Mystara (Euro 960209)"
ddsomr1           "Dungeons & Dragons: Shadow over Mystara (Euro 960223)"
ddsomh            "Dungeons & Dragons: Shadow over Mystara (Hispanic 960223)"
ddsomjr1          "Dungeons & Dragons: Shadow over Mystara (Japan 960206)"
ddsomjr2          "Dungeons & Dragons: Shadow over Mystara (Japan 960223)"
ddsomj            "Dungeons & Dragons: Shadow over Mystara (Japan 960619)"
ddsomur1          "Dungeons & Dragons: Shadow over Mystara (USA 960209)"
ddsomud           "Dungeons & Dragons: Shadow over Mystara (USA 960619 Phoenix Edition) (bootleg)"
ddsomu            "Dungeons & Dragons: Shadow over Mystara (USA 960619)"
ddtodar1          "Dungeons & Dragons: Tower of Doom (Asia 940113)"
ddtod             "Dungeons & Dragons: Tower of Doom (Euro 940412)"
ddtoda            "Dungeons & Dragons: Tower of Doom (Asia 940412)"
ddtodr1           "Dungeons & Dragons: Tower of Doom (Euro 940113)"
ddtodd            "Dungeons & Dragons: Tower of Doom (Euro 940412 Phoenix Edition) (bootleg)"
ddtodhr2          "Dungeons & Dragons: Tower of Doom (Hispanic 940113)"
ddtodhr1          "Dungeons & Dragons: Tower of Doom (Hispanic 940125)"
ddtodh            "Dungeons & Dragons: Tower of Doom (Hispanic 940412)"
ddtodjr2          "Dungeons & Dragons: Tower of Doom (Japan 940113)"
ddtodjr1          "Dungeons & Dragons: Tower of Doom (Japan 940125)"
ddtodj            "Dungeons & Dragons: Tower of Doom (Japan 940412)"
ddtodur1          "Dungeons & Dragons: Tower of Doom (USA 940113)"
ddtodu            "Dungeons & Dragons: Tower of Doom (USA 940125)"
ecofghtra         "Eco Fighters (Asia 931203)"
ecofghtr          "Eco Fighters (World 931203)"
ecofghtrh         "Eco Fighters (Hispanic 931203)"
ecofghtru1        "Eco Fighters (USA 931203)"
ecofghtru         "Eco Fighters (USA 940215)"
ecofghtrd         "Eco Fighters (World 931203 Phoenix Edition) (bootleg)"
gigaman2          "Giga Man 2: The Power Fighters (bootleg of Mega Man 2: The Power Fighters)"
megaman2          "Mega Man 2: The Power Fighters (USA 960708)"
gigawinga         "Giga Wing (Asia 990222)"
gigawing          "Giga Wing (USA 990222)"
gigawingb         "Giga Wing (Brazil 990222)"
gigawingh         "Giga Wing (Hispanic 990222)"
gigawingjd        "Giga Wing (Japan 990223 Phoenix Edition) (bootleg)"
gigawingj         "Giga Wing (Japan 990223)"
gigawingd         "Giga Wing (USA 990222 Phoenix Edition) (bootleg)"
gmahou            "Great Mahou Daisakusen (Japan 000121)"
hsf2d             "Hyper Street Fighter II: The Anniversary Edition (Asia 040202 Phoenix Edition) (bootleg)"
hsf2              "Hyper Street Fighter II: The Anniversary Edition (USA 040202)"
hsf2a             "Hyper Street Fighter II: The Anniversary Edition (Asia 040202)"
hsf2j1            "Hyper Street Fighter II: The Anniversary Edition (Japan 031222)"
hsf2j             "Hyper Street Fighter II: The Anniversary Edition (Japan 040202)"
choko             "Janpai Puzzle Choukou (Japan 010820)"
jyangoku          "Jyangokushi: Haoh no Saihai (Japan 990527)"
mmatrixj          "Mars Matrix: Hyper Solid Shooting (Japan 000412)"
